,75,45,62,55,16,35,60,70,65,30,22,25,20
41576,,22679.0,,,,,,,,,,,
41591,,103.0,,,,,,,,,,,
41657,,54.0,,,,,,,,,,,
41659,,54.0,,,,,,,,,,,
41665,,5431.0,,,,,,,,,,,
41768,,2058.0,,,,,,,,,,,
41823,,135.0,,,,,,,,,,,
41846,,135.0,,,,,,,,,,,
41942,,465.0,,,,,,,,,,,
42049,,6378.0,,,,,,,,,,,
42260,,4182.0,,,,,,,,,,,
42278,,8171.0,,,,,,,,,,,
42296,,135.0,,,,,,,,,,,
42320,,54.0,,,,,,,,,,,
42538,,54.0,,,,,,,,,,,
42586,,54.0,,,,,,,,,,,
42592,,135.0,,,,,,,,,,,
42668,,654.0,,,,,,,,,,,
43212,,135.0,,,,,,,,,,,
43251,,54.0,,,,,,,,,,,
43353,,54.0,,,,,,,,,,,
43486,,103.0,,,,,,,,,,,
43775,,54.0,,,,,,,,,,,
43855,,54.0,,,,,,,,,,,
43971,,135.0,,,,,,,,,,,
44031,,3365.0,,,,,,,,,,,
44062,,54.0,,,,,,,,,,,
44110,,135.0,,,,,,,,,,,
44160,,135.0,,,,,,,,,,,
44460,,5431.0,,,,,,,,,,,
44810,,135.0,,,,,,,,,,,
44877,,465.0,,,,,,,,,,,
45342,,103.0,,,,,,,,,,,
45393,,103.0,,,,,,,,,,,
45512,,54.0,,,,,,,,,,,
45589,,54.0,,,,,,,,,,,
45610,,54.0,,,,,,,,,,,
45702,,135.0,,,,,,,,,,,
45747,,54.0,,,,,,,,,,,
45756,,135.0,,,,,,,,,,,
45823,,54.0,,,,,,,,,,,
45968,,304.0,,,,,,,,,,,
46117,,135.0,,,,,,,,,,,
46561,,54.0,,,,,,,,,,,
46647,,54.0,,,,,,,,,,,
46964,,103.0,,,,,,,,,,,
46972,,135.0,,,,,,,,,,,
46997,,2208.0,,,,,,,,,,,
47471,,22965.0,,,,,,,,,,,
47483,,13933.0,,,,,,,,,,,
47518,,135.0,,,,,,,,,,,
47609,,135.0,,,,,,,,,,,
48195,,1403.0,,,,,,,,,,,
48250,,54.0,,,,,,,,,,,
48664,,135.0,,,,,,,,,,,
49201,,54.0,,,,,,,,,,,
49278,,654.0,,,,,,,,,,,
49389,,135.0,,,,,,,,,,,
49501,,54.0,,,,,,,,,,,
49761,,135.0,,,,,,,,,,,
49869,,135.0,,,,,,,,,,,
49877,,135.0,,,,,,,,,,,
50011,,54.0,,,,,,,,,,,
50431,,6378.0,,,,,,,,,,,
50962,,135.0,,,,,,,,,,,
51039,,22965.0,,,,,,,,,,,
51051,,135.0,,,,,,,,,,,
51230,,135.0,,,,,,,,,,,
51262,,19.0,,,,,,,,,,,
51291,,10648.0,,,,,,,,,,,
51788,,135.0,,,,,,,,,,,
51868,,103.0,,,,,,,,,,,
52041,,103.0,,,,,,,,,,,
52128,,50443.0,,,,,,,,,,,
52513,,135.0,,,,,,,,,,,
52547,,135.0,,,,,,,,,,,
52589,,135.0,,,,,,,,,,,
52648,,135.0,,,,,,,,,,,
52804,,54.0,,,,,,,,,,,
53192,,304.0,,,,,,,,,,,
53591,,103.0,,,,,,,,,,,
53774,,54.0,,,,,,,,,,,
53853,,135.0,,,,,,,,,,,
53945,,135.0,,,,,,,,,,,
53948,,78.0,,,,,,,,,,,
54011,,54.0,,,,,,,,,,,
54022,,54.0,,,,,,,,,,,
54134,,135.0,,,,,,,,,,,
54152,,103.0,,,,,,,,,,,
54218,,135.0,,,,,,,,,,,
54566,,103.0,,,,,,,,,,,
54693,,54.0,,,,,,,,,,,
54800,,5614.0,,,,,,,,,,,
54936,,9234.0,,,,,,,,,,,
55003,,54.0,,,,,,,,,,,
55163,,304.0,,,,,,,,,,,
55250,,54.0,,,,,,,,,,,
55462,,24215.0,,,,,,,,,,,
55622,,135.0,,,,,,,,,,,
55651,,135.0,,,,,,,,,,,
55754,,135.0,,,,,,,,,,,
56125,,135.0,,,,,,,,,,,
56208,,135.0,,,,,,,,,,,
56258,,1.0,,,,,,,,,,,
56320,,135.0,,,,,,,,,,,
56376,,8171.0,,,,,,,,,,,
56404,,19.0,,,,,,,,,,,
56629,,54.0,,,,,,,,,,,
56666,,135.0,,,,,,,,,,,
56718,,54.0,,,,,,,,,,,
56809,,54.0,,,,,,,,,,,
57013,,103.0,,,,,,,,,,,
57319,,54.0,,,,,,,,,,,
57332,,135.0,,,,,,,,,,,
57600,,135.0,,,,,,,,,,,
57629,,54.0,,,,,,,,,,,
57661,,54.0,,,,,,,,,,,
57787,,103.0,,,,,,,,,,,
57803,,135.0,,,,,,,,,,,
57845,,1403.0,,,,,,,,,,,
57856,,19.0,,,,,,,,,,,
57989,,54.0,,,,,,,,,,,
58047,,143.0,,,,,,,,,,,
58276,,54.0,,,,,,,,,,,
58480,,135.0,,,,,,,,,,,
58752,,54.0,,,,,,,,,,,
58872,,5431.0,,,,,,,,,,,
59112,,143.0,,,,,,,,,,,
59188,,54.0,,,,,,,,,,,
59739,,135.0,,,,,,,,,,,
59751,,135.0,,,,,,,,,,,
59913,,9323.0,,,,,,,,,,,
59976,,135.0,,,,,,,,,,,
59991,,135.0,,,,,,,,,,,
59999,,3413.0,,,,,,,,,,,
60070,,54.0,,,,,,,,,,,
60109,,54.0,,,,,,,,,,,
60474,,54.0,,,,,,,,,,,
60663,,135.0,,,,,,,,,,,
60884,,103.0,,,,,,,,,,,
61177,,54.0,,,,,,,,,,,
61587,,10648.0,,,,,,,,,,,
61704,,135.0,,,,,,,,,,,
61841,,54.0,,,,,,,,,,,
61842,,135.0,,,,,,,,,,,
61914,,135.0,,,,,,,,,,,
62136,,135.0,,,,,,,,,,,
62383,,135.0,,,,,,,,,,,
62740,,1403.0,,,,,,,,,,,
62877,,2730.0,,,,,,,,,,,
63335,,2893.0,,,,,,,,,,,
63408,,54.0,,,,,,,,,,,
63751,,3365.0,,,,,,,,,,,
64053,,135.0,,,,,,,,,,,
64153,,304.0,,,,,,,,,,,
64381,,54.0,,,,,,,,,,,
64423,,54.0,,,,,,,,,,,
64559,,2739.0,,,,,,,,,,,
64580,,103.0,,,,,,,,,,,
64822,,54.0,,,,,,,,,,,
64842,,135.0,,,,,,,,,,,
64936,,135.0,,,,,,,,,,,
64937,,135.0,,,,,,,,,,,
65002,,6378.0,,,,,,,,,,,
65095,,135.0,,,,,,,,,,,
65128,,103.0,,,,,,,,,,,
65592,,54.0,,,,,,,,,,,
65797,,135.0,,,,,,,,,,,
66114,,103.0,,,,,,,,,,,
66164,,8353.0,,,,,,,,,,,
66215,,54.0,,,,,,,,,,,
66425,,103.0,,,,,,,,,,,
66758,,304.0,,,,,,,,,,,
67395,,135.0,,,,,,,,,,,
67733,,135.0,,,,,,,,,,,
67796,,135.0,,,,,,,,,,,
67839,,135.0,,,,,,,,,,,
68293,,32162.0,,,,,,,,,,,
68839,,2091.0,,,,,,,,,,,
68953,,304.0,,,,,,,,,,,
69360,,2893.0,,,,,,,,,,,
69411,,54.0,,,,,,,,,,,
69445,,103.0,,,,,,,,,,,
69630,,54.0,,,,,,,,,,,
69738,,3365.0,,,,,,,,,,,
69753,,54.0,,,,,,,,,,,
69987,,54.0,,,,,,,,,,,
70072,,54.0,,,,,,,,,,,
70439,,54.0,,,,,,,,,,,
